"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"1 One Dwelling",1615,2136,1975,1899
"1 One Dwelling",560,1377,1433,1899
"1 One Dwelling",830,2880,1440,1901
"1 One Dwelling",1165,2400,2000,1899
"1 One Dwelling",615,2400,2000,1899
"1 One Dwelling",2205,2400,5000,1899
"1 One Dwelling",1063,2250,1875,1901
"1 One Dwelling",810,2001,1667,1899
"1 One Dwelling",720,992,2000,1899
"1 One Dwelling",570,1244,2000,1899
"1 One Dwelling",750,1368,1173,1899
"1 One Dwelling",750,1920,2000,1925
"1 One Dwelling",620,540,2500,1899
"1 One Dwelling",640,2160,1275,1901
"1 One Dwelling",559.5,1193,1800,1901
"1 One Dwelling",745,1232,2200,1901
"1 One Dwelling",983,850,2500,1910
"1 One Dwelling",999,1200,2000,1920
"1 One Dwelling",293,1200,2000,1920
"1 One Dwelling",1575,2565,1900,1931
"1 One Dwelling",350,2160,2000,1899
"1 One Dwelling",1055,2250,1250,1899
"1 One Dwelling",10,2142,1700,1890
"1 One Dwelling",1,2142,1700,1890
"1 One Dwelling",451.5,2160,3200,1899
"1 One Dwelling",451.5,2160,3200,1899
"1 One Dwelling",575,2160,2000,1899
"1 One Dwelling",1300,2700,2000,1901
"1 One Dwelling",800,2520,2000,1899
"1 One Dwelling",700,2160,1800,1899
"1 One Dwelling",950,1752,992,1899
"1 One Dwelling",1265,2758,1875,1915
"1 One Dwelling",1755,2730,1667,1910
"1 One Dwelling",1150,2400,2000,1910
"1 One Dwelling",270,1314,1250,1899
"1 One Dwelling",220,3152,1750,1899
"1 One Dwelling",318.753,2025,1875,1901
"1 One Dwelling",950,2960,1850,1899
"1 One Dwelling",1600,3520,2000,1905
"1 One Dwelling",1650,2070,907,1899
"1 One Dwelling",1225,2688,1520,1899
"2 Two Dwelling",67.5,1880,1900,1987
"2 Two Dwelling",900,2091,1833,1899
"2 Two Dwelling",610,2100,2000,1899
"2 Two Dwelling",352,2643,1875,1899
"2 Two Dwelling",747,2220,1850,1899
"2 Two Dwelling",700,1784,1983,1991
"2 Two Dwelling",785,1824,1983,1993
"2 Two Dwelling",1185,2700,2000,1899
"2 Two Dwelling",3.05,2700,1600,1899
"2 Two Dwelling",955,3388,1883,1899
"2 Two Dwelling",1350,1920,1600,1899
"2 Two Dwelling",1465,2634,1950,1899
"2 Two Dwelling",900,2400,2000,1899
"2 Two Dwelling",1150,2400,2000,1899
"2 Two Dwelling",350,2373,1758,1899
"2 Two Dwelling",115,2373,1758,1899
"2 Two Dwelling",625,2001,2100,1899
"2 Two Dwelling",715,1126,1406,1899
"2 Two Dwelling",835,2160,1817,1899
"2 Two Dwelling",1250,2352,1800,1899
"2 Two Dwelling",750,2220,2000,1899
"2 Two Dwelling",1665,2400,2000,1899
"2 Two Dwelling",476.229,3052,1817,1916
"2 Two Dwelling",760,1260,1500,1899
"2 Two Dwelling",775,2160,2000,1899
"2 Two Dwelling",500,2160,2000,1899
"2 Two Dwelling",1199,2160,2000,1899
"2 Two Dwelling",1199,2430,1440,1899
"2 Two Dwelling",1150,2580,2000,1899
"2 Two Dwelling",575,2580,2000,1899
"2 Two Dwelling",1144,3200,2000,1899
"2 Two Dwelling",816.8,3200,2000,1899
"2 Two Dwelling",600,2340,1560,1899
